id,employee_id/id,job_id/id,wage,date_start,trial_date_start,trial_date_end,schedule_template_id/id,struct_id/id,pps_id/id,policy_group_id/id
contract_342,l31_plant_43,braam_flowers.job_grpleader_planting31,841.86,2011-08-01,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_343,l31_plant_44,braam_flowers.job_worker_planting31,625,2011-08-03,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_344,l31_plant_45,braam_flowers.job_worker_planting31,625,2011-08-03,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_345,l31_plant_46,braam_flowers.job_worker_planting31,625,2011-08-03,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_346,l31_plant_47,braam_flowers.job_worker_planting31,625,2011-08-03,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_347,l31_plant_48,braam_flowers.job_worker_planting31,625,2011-08-03,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_348,l31_plant_49,braam_flowers.job_worker_planting31,625,2011-08-21,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_349,l31_plant_50,braam_flowers.job_worker_planting31,625,2011-08-21,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_350,l31_plant_51,braam_flowers.job_worker_planting31,625,2011-08-28,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_351,l31_plant_52,braam_flowers.job_worker_planting31,625,2011-09-27,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_352,l31_plant_53,braam_flowers.job_worker_planting31,600,2011-10-16,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_353,l31_plant_54,braam_flowers.job_worker_planting31,600,2011-10-06,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_354,l31_plant_55,braam_flowers.job_worker_planting31,600,2011-10-22,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_355,l31_plant_56,braam_flowers.job_worker_planting31,600,2011-10-22,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_356,l31_plant_57,braam_flowers.job_worker_planting31,600,2011-10-22,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_357,l31_plant_58,braam_flowers.job_worker_planting31,600,2011-10-29,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_358,l31_plant_59,braam_flowers.job_worker_planting31,600,2011-10-29,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_359,l31_plant_60,braam_flowers.job_worker_planting31,600,2011-10-29,,,braam_flowers.sched_template_7,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_360,l31_plant_61,braam_flowers.job_worker_planting31,600,2011-11-26,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_361,l31_plant_62,braam_flowers.job_worker_planting31,600,2011-12-03,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_362,l31_plant_63,braam_flowers.job_worker_planting31,600,2011-12-03,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
